Checked,Protein FDR Confidence Combined,Master,Accession,Description,Exp q-value Combined,Sum PEP Score,Coverage in Percent,Number of Peptides,Number of PSMs,Number of Unique Peptides,Number of AAs,MW in kDa,calc pI,Score Sequest HT Sequest HT,Number of Peptides by Search Engine Sequest HT,Number of Razor Peptides,Abundances Scaled F1 Sample,Abundances Scaled F2 Sample,Found in Sample in S1 F1 Sample,Found in Sample in S2 F2 Sample,Number of Protein Groups,Modifications
FALSE,High,IsMasterProtein,A0A3B5Y606,"1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase OS=Triticum aestivum OX=4565 PE=3 SV=1",0,4.907,7,1,1,1,183,21.5,5.47,2.71,1,0,,,Not Found,High,1,
FALSE,High,IsMasterProtein,A0A3B6JPF1,"1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase OS=Triticum aestivum OX=4565 PE=3 SV=1",0,5.528,9,2,4,2,197,23.4,5.29,6.71,2,0,61.9,138.1,High,High,1,
FALSE,High,IsMasterProtein,A0A096UL77,14_3_3 domain-containing protein OS=Triticum aestivum OX=4565 GN=CAMPLR22A2D_LOCUS3277 PE=3 SV=1,0,56.641,39,10,33,1,263,29.9,4.74,97.92,10,0,60.2,139.8,Peak Found,High,1,
FALSE,High,IsMasterProtein,A0A3B6TRP9,14_3_3 domain-containing protein OS=Triticum aestivum OX=4565 PE=3 SV=1,0,90.387,58,13,40,3,261,28.8,4.84,127.37,13,5,102.5,97.5,High,High,1,Met-loss+Acetyl [N-Term]
FALSE,High,IsMasterProtein,A0A3B6EBZ6,14_3_3 domain-containing protein OS=Triticum aestivum OX=4565 PE=3 SV=1,0,76.047,52,13,47,5,262,29.7,4.74,140.01,13,2,77.4,122.6,High,High,1,Met-loss+Acetyl [N-Term]
FALSE,High,IsMasterProtein,A0A3B6JGP3,14_3_3 domain-containing protein OS=Triticum aestivum OX=4565 PE=3 SV=1,0,58.996,47,10,26,1,266,29.5,4.83,87.78,10,0,200,,High,Not Found,1,Met-loss [N-Term]
FALSE,High,IsMasterProtein,L0GED8,14-3-3 protein OS=Triticum aestivum OX=4565 GN=14R2 PE=2 SV=1,0,112.695,71,17,59,10,261,29.2,4.88,185,17,9,94.5,105.5,High,High,1,Met-loss+Acetyl [N-Term]
FALSE,High,IsMasterProtein,Q43659,15kDa grain softness protein OS=Triticum aestivum OX=4565 GN=GSP-1b PE=2 SV=1,0,13.787,21,3,5,2,164,18.4,7.78,15.45,3,0,3.7,196.3,High,High,1,
FALSE,High,IsMasterProtein,Q6W8Q2,1-Cys peroxiredoxin PER1 OS=Triticum aestivum OX=4565 GN=PER1 PE=2 SV=1,0,319.412,76,25,433,10,218,24,6.54,1298.68,25,0,103.2,96.8,High,High,1,Met-loss [N-Term]
FALSE,High,IsMasterProtein,A0A3B6DHT5,26S proteasome non-ATPase regulatory subunit 1 homolog OS=Triticum aestivum OX=4565 PE=3 SV=1,0,67.089,14,13,39,13,1030,111,5.15,100.62,13,0,110.7,89.3,High,High,1,
FALSE,High,IsMasterProtein,A0A3B6QDH8,26S proteasome non-ATPase regulatory subunit 2 homolog OS=Triticum aestivum OX=4565 PE=3 SV=1,0,130.329,29,22,56,2,895,97.7,5.19,156.24,22,21,107,93,High,High,1,
FALSE,High,IsMasterProtein,A0A3B6NKH9,26S proteasome non-ATPase regulatory subunit 2 homolog OS=Triticum aestivum OX=4565 PE=3 SV=1,0,132.275,29,22,57,2,892,97.4,5.21,159.83,22,0,137.6,62.4,High,High,1,
FALSE,High,IsMasterProtein,A0A3B6RK71,26S proteasome non-ATPase regulatory subunit 2 homolog OS=Triticum aestivum OX=4565 PE=3 SV=1,0.006,1.858,2,1,2,1,817,89.6,6.9,6.84,1,0,,200,High,High,1,
FALSE,High,IsMasterProtein,G0Z6F1,26s proteasome non-ATPase regulatory subunit OS=Triticum aestivum OX=4565 GN=TRAES_3BF102700120CFD_c1 PE=2 SV=1,0,56.636,34,10,35,10,307,34.2,6.46,91.49,10,0,76.1,123.9,High,High,1,
FALSE,High,IsMasterProtein,A0A3B6NT84,"2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase OS=Triticum aestivum OX=4565 PE=3 SV=1",0,3.762,8,1,1,1,222,23.6,8.38,3.19,1,0,111.4,88.6,High,Peak Found,1,
FALSE,High,IsMasterProtein,A0A3B6DN32,3-isopropylmalate dehydrogenase OS=Triticum aestivum OX=4565 PE=3 SV=1,0,9.58,10,3,4,3,398,41.9,6.11,10.22,3,0,55,145,High,High,1,
FALSE,High,IsMasterProtein,A0A077S100,3-methyl-2-oxobutanoate hydroxymethyltransferase OS=Triticum aestivum OX=4565 GN=TRAES_3BF042200040CFD_c1 PE=3 SV=1,0.001,3.06,8,1,1,1,349,36.2,7.31,3.64,1,0,,200,Not Found,High,1,
FALSE,High,IsMasterProtein,A0A3B6DDY7,3-oxoacyl-[acyl-carrier-protein] reductase OS=Triticum aestivum OX=4565 PE=3 SV=1,0,6.522,9,2,3,2,322,33.2,9.1,8.27,2,0,79.6,120.4,High,High,1,
FALSE,High,IsMasterProtein,A0A3B6AZA6,3-oxoacyl-[acyl-carrier-protein] synthase OS=Triticum aestivum OX=4565 PE=3 SV=1,0,30.932,12,5,9,1,465,49.4,7.52,24.23,5,0,53.3,146.7,High,Peak Found,1,
FALSE,High,IsMasterProtein,A0A3B6SEU6,3-oxoacyl-[acyl-carrier-protein] synthase OS=Triticum aestivum OX=4565 PE=3 SV=1,0,62.056,29,8,16,1,463,48.5,7.15,51.33,8,0,200,,High,Not Found,1,
FALSE,High,IsMasterProtein,A0A3B6RBC5,3-oxoacyl-[acyl-carrier-protein] synthase OS=Triticum aestivum OX=4565 PE=3 SV=1,0,76.63,32,9,21,2,459,48.4,7.4,69.86,9,7,82.4,117.6,High,High,1,
FALSE,Medium,IsMasterProtein,A0A3B6R885,3-phosphoshikimate 1-carboxyvinyltransferase OS=Triticum aestivum OX=4565 PE=3 SV=1,0.021,1.143,2,1,1,1,510,54.2,6.23,2.34,1,0,200,,High,Not Found,1,
FALSE,High,IsMasterProtein,A0A3B6C521,40S ribosomal protein S12 OS=Triticum aestivum OX=4565 PE=3 SV=1,0,13.575,32,3,6,3,143,15.2,5.52,15.5,3,0,54.6,145.4,High,High,1,
FALSE,High,IsMasterProtein,W5EL62,40S ribosomal protein S21 OS=Triticum aestivum OX=4565 PE=3 SV=1,0,26.578,51,4,11,2,82,9.2,7.34,36.83,4,0,90.9,109.1,High,High,1,Acetyl [N-Term]
FALSE,High,IsMasterProtein,A0A3B6ISR9,40S ribosomal protein S21 OS=Triticum aestivum OX=4565 PE=3 SV=1,0,16.298,51,4,6,2,82,9.2,7.34,18.04,4,2,66.7,133.3,High,Not Found,1,Acetyl [N-Term]
FALSE,High,IsMasterProtein,W5EP45,40S ribosomal protein S25 OS=Triticum aestivum OX=4565 PE=3 SV=1,0.002,2.227,9,1,1,1,108,12.1,10.56,2.27,1,0,32.4,167.6,Peak Found,High,1,
FALSE,Medium,IsMasterProtein,A0A3B6KQB8,40S ribosomal protein S26 OS=Triticum aestivum OX=4565 PE=3 SV=1,0.019,1.202,16,1,2,1,139,15.3,11.03,4.99,1,0,76,124,High,High,1,
FALSE,Medium,IsMasterProtein,A0A1D5SLI4,40S ribosomal protein S4 OS=Triticum aestivum OX=4565 PE=3 SV=1,0.019,1.205,4,1,1,1,265,29.9,10.15,2,1,0,23.5,176.5,High,Peak Found,1,
FALSE,High,IsMasterProtein,W5C8N6,40S ribosomal protein S6 OS=Triticum aestivum OX=4565 GN=CAMPLR22A2D_LOCUS542 PE=3 SV=1,0,5.917,8,2,3,2,250,28.4,10.67,6.82,2,0,58,142,High,High,1,
FALSE,High,IsMasterProtein,A0A3B6C534,40S ribosomal protein SA OS=Triticum aestivum OX=4565 PE=3 SV=1,0,57.892,36,9,41,2,304,32.9,4.96,122.77,9,0,45.6,154.4,High,High,1,
FALSE,High,IsMasterProtein,W5E2W7,40S ribosomal protein SA OS=Triticum aestivum OX=4565 PE=3 SV=1,0,72.669,46,13,50,6,308,33.2,5.02,143.72,13,8,113.2,86.8,High,High,1,Met-loss+Acetyl [N-Term]
FALSE,High,IsMasterProtein,A0A1D5V0H4,4-alpha-glucanotransferase OS=Triticum aestivum OX=4565 GN=CAMPLR22A2D_LOCUS1484 PE=3 SV=1,0,12.458,7,3,4,3,578,64,6.09,12.15,3,0,69.6,130.4,High,High,1,
FALSE,High,IsMasterProtein,A0A3B6MRK5,4Fe-4S ferredoxin-type domain-containing protein OS=Triticum aestivum OX=4565 PE=4 SV=1,0,6.016,9,2,3,2,304,33.8,8.48,6.96,2,0,133.3,66.7,High,High,1,
FALSE,High,IsMasterProtein,A0A3B6TTV7,4-hydroxy-4-methyl-2-oxoglutarate aldolase OS=Triticum aestivum OX=4565 PE=3 SV=1,0,4.103,8,1,1,1,168,17.7,6.77,2.71,1,0,23.7,176.3,High,Peak Found,1,
FALSE,High,IsMasterProtein,A0A3B6NLC6,4-hydroxyphenylpyruvate dioxygenase OS=Triticum aestivum OX=4565 PE=3 SV=1,0,15.471,14,4,5,4,433,46.3,5.78,13.34,4,0,42.6,157.4,High,High,1,
FALSE,High,IsMasterProtein,P24847,"4-hydroxy-tetrahydrodipicolinate synthase 2, chloroplastic OS=Triticum aestivum OX=4565 PE=1 SV=1",0,4.516,3,1,2,1,377,40.9,7.28,7.53,1,0,59.1,140.9,High,High,1,
FALSE,High,IsMasterProtein,A0A3B6D682,5'-3' exoribonuclease OS=Triticum aestivum OX=4565 PE=3 SV=1,0,5.043,2,2,2,2,986,111.6,6.55,1.96,2,0,29,171,High,Peak Found,1,
FALSE,High,IsMasterProtein,A0A3B6LUY7,5'-3' exoribonuclease OS=Triticum aestivum OX=4565 PE=3 SV=1,0,3.847,2,1,2,1,1020,116.6,7.56,5.8,1,0,,200,High,High,1,
FALSE,High,IsMasterProtein,A0A3B6B2H0,"6,7-dimethyl-8-ribityllumazine synthase OS=Triticum aestivum OX=4565 PE=3 SV=1",0,5.524,9,1,1,1,220,22.4,9.29,4.64,1,0,109.7,90.3,High,Peak Found,1,
FALSE,High,IsMasterProtein,A0A3B6HW71,68 kDa protein HP68 OS=Triticum aestivum OX=4565 PE=4 SV=1,0,31.851,13,5,12,1,571,64,7.83,36.51,5,0,19.9,180.1,High,High,1,
FALSE,High,IsMasterProtein,A0A3B5Z2H5,"6-phosphogluconate dehydrogenase, decarboxylating OS=Triticum aestivum OX=4565 PE=3 SV=1",0,103.297,49,15,49,13,501,53.9,5.87,138.48,15,0,60.7,139.3,High,High,1,Met-loss+Acetyl [N-Term]
FALSE,High,IsMasterProtein,A0A3B6I6K2,"6-phosphogluconate dehydrogenase, decarboxylating OS=Triticum aestivum OX=4565 PE=3 SV=1",0,117.809,39,18,50,17,504,55.5,6.39,137.06,18,2,87.6,112.4,High,High,1,
FALSE,High,IsMasterProtein,A0A3B6SCU3,"7,8-dihydroneopterin aldolase OS=Triticum aestivum OX=4565 PE=3 SV=1",0.001,2.552,9,1,1,1,125,13.6,8.44,2.43,1,0,32.2,167.8,High,Peak Found,1,Met-loss+Acetyl [N-Term]
FALSE,High,IsMasterProtein,A0A3B6B442,AA_kinase domain-containing protein OS=Triticum aestivum OX=4565 PE=3 SV=1,0,35.887,29,6,13,6,337,34.7,8.47,38.26,6,0,71.7,128.3,High,High,1,
FALSE,High,IsMasterProtein,A0A3B6GQ83,AA_TRNA_LIGASE_II domain-containing protein OS=Triticum aestivum OX=4565 PE=3 SV=1,0,40.842,14,11,21,11,708,81,7.09,55.19,11,0,73.1,126.9,High,High,1,
